Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2016;1;WZ08-56;Gastronomie;86.4;2.9
2016;1;WZ08-561;Restaurants & Cafes;84.4;2.1
2016;1;WZ08-562;Caterer;93.8;6.2
2016;1;WZ08-563;Bars & Clubs;83.8;-0.5
2016;2;WZ08-55;Beherbergung;80.7;4.5
2016;2;WZ08-551;Hotels;82.2;5.7
2016;2;WZ08-552;Ferienunterkünfte;62.6;-10.8
2016;2;WZ08-553;Campingplätze;59.4;0.2
2016;2;WZ08-56;Gastronomie;86.9;5.1
2016;2;WZ08-561;Restaurants & Cafes;84;4
2016;2;WZ08-562;Caterer;97.1;8.5
2016;2;WZ08-563;Bars & Clubs;84;4.2
2016;3;WZ08-55;Beherbergung;92.2;3.9
2016;3;WZ08-551;Hotels;93.2;4.4
2016;3;WZ08-552;Ferienunterkünfte;77.9;-5.8
2016;3;WZ08-553;Campingplätze;86.4;22.6
2016;3;WZ08-56;Gastronomie;95.2;3.1
2016;3;WZ08-561;Restaurants & Cafes;93.8;3.6
2016;3;WZ08-562;Caterer;101;2
2016;3;WZ08-563;Bars & Clubs;92.1;3.8
2016;4;WZ08-55;Beherbergung;100.5;9.4
2016;4;WZ08-551;Hotels;101.6;10.9
2016;4;WZ08-552;Ferienunterkünfte;83.7;-12.4
2016;4;WZ08-553;Campingplätze;96.5;2.7
2016;4;WZ08-56;Gastronomie;100.3;4.3
2016;4;WZ08-561;Restaurants & Cafes;99.1;2.8
2016;4;WZ08-562;Caterer;104.2;10.5
2016;4;WZ08-563;Bars & Clubs;100.8;1.4
2016;5;WZ08-55;Beherbergung;110.7;1.8
2016;5;WZ08-551;Hotels;110.2;1.5
2016;5;WZ08-552;Ferienunterkünfte;111.4;0.2
2016;5;WZ08-553;Campingplätze;127.6;15.2
2016;5;WZ08-56;Gastronomie;107.1;1
2016;5;WZ08-561;Restaurants & Cafes;109.2;0.5
2016;5;WZ08-562;Caterer;100.1;3.5
2016;5;WZ08-563;Bars & Clubs;107.5;-1.1
2016;6;WZ08-55;Beherbergung;113.7;0.5
2016;6;WZ08-551;Hotels;113.8;0.7
2016;6;WZ08-552;Ferienunterkünfte;112.3;-1.7
2016;6;WZ08-553;Campingplätze;112.5;-4.8
2016;6;WZ08-56;Gastronomie;105;0.9
2016;6;WZ08-561;Restaurants & Cafes;104.4;0.4
2016;6;WZ08-562;Caterer;109.9;3.9
2016;6;WZ08-563;Bars & Clubs;97.6;-3.1
2016;7;WZ08-55;Beherbergung;116.8;4.4
2016;7;WZ08-551;Hotels;113.3;4.1
2016;7;WZ08-552;Ferienunterkünfte;143.4;2.1
2016;7;WZ08-553;Campingplätze;194.9;8.2
2016;7;WZ08-56;Gastronomie;112.8;3.4
2016;7;WZ08-561;Restaurants & Cafes;116.9;4.9
2016;7;WZ08-562;Caterer;101;-2.7
2016;7;WZ08-563;Bars & Clubs;109.2;4.9
2016;8;WZ08-55;Beherbergung;116;1.7
2016;8;WZ08-551;Hotels;112.1;0.9
2016;8;WZ08-552;Ferienunterkünfte;147.4;4.8
2016;8;WZ08-553;Campingplätze;203.5;1.2
2016;8;WZ08-56;Gastronomie;109.1;-0.1
2016;8;WZ08-561;Restaurants & Cafes;113.9;0.3
2016;8;WZ08-562;Caterer;94.8;1.7
2016;8;WZ08-563;Bars & Clubs;106.4;-7.9
2016;9;WZ08-55;Beherbergung;130.6;7.8
2016;9;WZ08-551;Hotels;131.5;8
2016;9;WZ08-552;Ferienunterkünfte;123.3;5.9
2016;9;WZ08-553;Campingplätze;121;10.1
2016;9;WZ08-56;Gastronomie;111.4;6.1
2016;9;WZ08-561;Restaurants & Cafes;111.2;6.7
2016;9;WZ08-562;Caterer;112.3;4
2016;9;WZ08-563;Bars & Clubs;110.3;6.7
2016;10;WZ08-55;Beherbergung;117.8;2.7
2016;10;WZ08-551;Hotels;119;3.4
2016;10;WZ08-552;Ferienunterkünfte;113.1;-4.2
2016;10;WZ08-553;Campingplätze;76;1.5
2016;10;WZ08-56;Gastronomie;106.7;1.4
2016;10;WZ08-561;Restaurants & Cafes;107.1;2.9
2016;10;WZ08-562;Caterer;104;-3.6
2016;10;WZ08-563;Bars & Clubs;109.9;2.8
2016;11;WZ08-55;Beherbergung;95.4;2.7
2016;11;WZ08-551;Hotels;98.7;3.7
2016;11;WZ08-552;Ferienunterkünfte;62;-12.8
2016;11;WZ08-553;Campingplätze;35.4;-10.4
2016;11;WZ08-56;Gastronomie;97.1;0.4
2016;11;WZ08-561;Restaurants & Cafes;94.4;0.1
2016;11;WZ08-562;Caterer;107.5;1.2
2016;11;WZ08-563;Bars & Clubs;92.2;0.1
2016;12;WZ08-55;Beherbergung;94.2;2.7
